jarak,waktu
21.3,1
21.51,2
21.51,3
21.83,4
21.28,5
21.28,6
21.3,7
21.3,8
21.28,9
21.3,10
21.3,11
21.28,12
21.28,13
21.18,14
21.28,15
21.3,16
