jarak,waktu
9.4,1
9.18,2
9.74,3
9.84,4
9.84,5
9.74,6
9.84,7
9.84,8
9.74,9
9.86,10
9.74,11
9.74,12
9.84,13
9.74,14
9.74,15
9.86,16
9.74,17
9.74,18
9.84,19
9.74,20
9.74,21
9.84,22
9.74,23
9.74,24
9.84,25
9.74,26
9.84,27
9.84,28
9.76,29
9.84,30
9.78,31
9.74,32
9.84,33
9.74,34
9.74,35
9.86,36
9.74,37
9.76,38
