jarak,waktu
27.06,1
27.17,2
27.94,3
27.92,4
27.94,5
27.94,6
27.94,7
27.92,8
27.94,9
27.94,10
27.92,11
27.94,12
27.94,13
27.94,14
27.94,15
27.94,16
27.94,17
27.92,18
27.94,19
