jarak,waktu
9.4,1
9.84,2
9.74,3
9.76,4
9.86,5
9.74,6
9.74,7
9.84,8
9.74,9
9.74,10
9.84,11
9.74,12
9.74,13
9.84,14
9.74,15
9.84,16
9.84,17
9.74,18
8.83,19
9.84,20
9.74,21
9.84,22
9.84,23
9.74,24
9.86,25
9.74,26
9.74,27
9.84,28
9.74,29
9.74,30
9.86,31
9.74,32
9.74,33
9.86,34
8.37,35
9.76,36
9.84,37
9.74,38
9.76,39
8.47,40
8.37,41
8.35,42
8.45,43
8.47,44
9.74,45
9.78,46
8.47,47
9.74,48
9.74,49
9.84,50
9.76,51
