jarak,waktu
6.84,1
6.86,2
6.86,3
6.76,4
6.76,5
6.84,6
6.74,7
6.76,8
6.86,9
6.86,10
6.84,11
6.84,12
6.74,13
6.74,14
6.84,15
6.86,16
6.86,17
6.74,18
6.74,19
6.84,20
6.86,21
6.86,22
6.86,23
6.74,24
6.74,25
6.86,26
6.86,27
6.86,28
