jarak,waktu
24.75,1
24.18,2
24.16,3
24.16,4
24.27,5
24.27,6
24.27,7
24.16,8
24.27,9
24.27,10
24.16,11
24.28,12
24.28,13
24.28,14
24.16,15
24.16,16
24.27,17
24.27,18
24.25,19
24.16,20
24.28,21
24.27,22
24.27,23
24.16,24
24.16,25
24.27,26
24.27,27
24.16,28
24.28,29
24.27,30
