jarak,waktu
15.86,1
15.86,2
15.54,3
15.56,4
15.97,5
15.86,6
15.86,7
15.86,8
15.97,9
15.86,10
15.86,11
15.86,12
15.97,13
15.86,14
15.86,15
15.86,16
15.86,17
15.86,18
15.86,19
15.86,20
15.86,21
15.86,22
15.86,23
15.86,24
15.86,25
15.86,26
15.86,27
15.86,28
15.86,29
15.19,30
15.86,31
