jarak,waktu
12.13,1
12.57,2
12.57,3
12.47,4
12.47,5
12.47,6
12.47,7
12.47,8
12.47,9
12.57,10
12.47,11
12.57,12
12.47,13
12.47,14
12.47,15
12.81,16
