jarak,waktu
18.73,1
18.11,2
18.42,3
18.42,4
18.73,5
18.74,6
18.74,7
18.64,8
18.73,9
18.74,10
18.74,11
18.74,12
18.74,13
18.73,14
18.73,15
18.73,16
18.74,17
18.74,18
18.74,19
18.73,20
18.74,21
18.73,22
18.74,23
18.73,24
18.74,25
18.64,26
18.73,27
18.74,28
18.74,29
18.73,30
18.73,31
18.74,32
18.74,33
18.73,34
18.73,35
18.74,36
18.62,37
18.74,38
18.74,39
18.74,40
18.73,41
18.73,42
18.73,43
18.73,44
18.73,45
18.73,46
18.69,47
18.74,48
18.73,49
