jarak,waktu
27.17,1
27.06,2
27.17,3
27.06,4
27.17,5
27.06,6
27.06,7
27.06,8
27.17,9
27.06,10
27.06,11
27.17,12
27.17,13
27.06,14
27.06,15
27.17,16
27.06,17
27.06,18
27.06,19
